,source,page number,description,proposed_name,proposed_target,smiles,inchi,inchikey,validation
10,List-of-2020-Small-Molecule-Drug-Approvals.pdf,0,"lonafarnib (Zokinvy)
oral farnesyltransferase inhibitor
115 mg/m2 BID, 150 mg/m2 after 4 mo.
% pts w/ successful rate of weight gain
Ph. II 00425607, 00916747 (28, 26 pts)
Genetic Disorders - progeroid laminopathies",lonafarnib (Zokinvy),oral farnesyltransferase inhibitor,NC(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1,"InChI=1S/C27H31Br2ClN4O2/c28-20-12-19-2-1-18-13-21(30)14-22(29)24(18)25(26(19)32-15-20)17-5-9-33(10-6-17)23(35)11-16-3-7-34(8-4-16)27(31)36/h12-17,25H,1-11H2,(H2,31,36)/t25-/m1/s1",DHMTURDWPRKSOA-RUZDIDTESA-N,True
11,List-of-2020-Small-Molecule-Drug-Approvals.pdf,0,"opicapone (Ongentys)
oral COMT enzyme inhibitor
50 mg QD at night
change in OFF-time based on pt. diaries
NCT01568073, 01227655 (600, 427 pts)
Neurology - Parkinson’s w/ “off” episodes",opicapone (Ongentys),oral COMT enzyme inhibitor,Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,"InChI=1S/C15H10Cl2N4O6/c1-5-10(13(17)20(24)6(2)11(5)16)14-18-15(27-19-14)7-3-8(21(25)26)12(23)9(22)4-7/h3-4,22-23H,1-2H3",ASOADIZOVZTJSR-UHFFFAOYSA-N,True
12,List-of-2020-Small-Molecule-Drug-Approvals.pdf,0,"lurbinectedin (Zepzelca)
IV DNA alkylating agent
3.2 mg/m2 Q21D over 60 minutes
overall response rate (ORR)
Ph. II NCT02454972 (105 pts)
Oncology - met. SCLC",lurbinectedin (Zepzelca),IV DNA alkylating agent,[H][C@@]12[C@@H]3SC[C@]4(NCCc5c4[nH]c4ccc(OC)cc54)C(=O)OC[C@@H](c4c5c(c(C)c(OC(C)=O)c43)OCO5)N1[C@@H](O)[C@@H]1Cc3cc(C)c(OC)c(O)c3[C@H]2N1C,"InChI=1S/C41H44N4O10S/c1-17-11-20-12-25-39(48)45-26-14-52-40(49)41(38-22(9-10-42-41)23-13-21(50-5)7-8-24(23)43-38)15-56-37(31(45)30(44(25)4)27(20)32(47)33(17)51-6)29-28(26)36-35(53-16-54-36)18(2)34(29)55-19(3)46/h7-8,11,13,25-26,30-31,37,39,42-43,47-48H,9-10,12,14-16H2,1-6H3/t25-,26-,30+,31+,37+,39-,41+/m0/s1",YDDMIZRDDREKEP-HWTBNCOESA-N,True
13,List-of-2020-Small-Molecule-Drug-Approvals.pdf,0,"relugolix (Orgovyx)
oral GnRH hormone receptor antagonist
360 mg d1, then 120 mg QD
medical castration rate/serum testost. levels
NCT03085095/HERO (934 pts)
Oncology - advanced prostate cancer",relugolix (Orgovyx),oral GnRH hormone receptor antagonist,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1,"InChI=1S/C29H27F2N7O5S/c1-36(2)14-19-24-26(39)38(22-12-13-23(42-3)34-33-22)29(41)37(15-18-20(30)6-5-7-21(18)31)27(24)44-25(19)16-8-10-17(11-9-16)32-28(40)35-43-4/h5-13H,14-15H2,1-4H3,(H2,32,35,40)",AOMXMOCNKJTRQP-UHFFFAOYSA-N,True
14,List-of-2020-Small-Molecule-Drug-Approvals.pdf,1,"risdiplam (Evrysdi)
oral SMN RNA splicing modifier
5 mg (2 yrs of age + >20 kg)
ability to sit w/o support for at least 5 s
Ph. II/III 02913482, 02908685 (62, 231 pts)
Neurology - spinal muscular atrophy (SMA)",risdiplam (Evrysdi),oral SMN RNA splicing modifier,Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1,"InChI=1S/C22H23N7O/c1-14-9-18(26-29-11-15(2)24-21(14)29)17-10-20(30)28-12-16(3-4-19(28)25-17)27-8-7-23-22(13-27)5-6-22/h3-4,9-12,23H,5-8,13H2,1-2H3",ASKZRYGFUPSJPN-UHFFFAOYSA-N,True
15,List-of-2020-Small-Molecule-Drug-Approvals.pdf,1,"remimazolam (Byfavo)
IV GABAA receptor modulator
5 mg over 1 min, supp. 2.5 mg over 15s
colonoscopy procedure success rate
02290873/6892, 02532647 (461, 431, 77 pts)
Neurology - sedation",remimazolam (Byfavo),IV GABAA receptor modulator,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21,"InChI=1S/C21H19BrN4O2/c1-13-12-24-21-17(7-9-19(27)28-2)25-20(16-5-3-4-10-23-16)15-11-14(22)6-8-18(15)26(13)21/h3-6,8,10-12,17H,7,9H2,1-2H3/t17-/m0/s1",CYHWMBVXXDIZNZ-KRWDZBQOSA-N,True
16,List-of-2020-Small-Molecule-Drug-Approvals.pdf,1,"ne (Olinvyk)
eptor agonist
ly
pain after surgical procedures
820324 (401 pts)
acute pain in certain adults
nib (Tabrecta)
ase inhibitor
nse rate (ORR)
414139/GEOMETRY (97 pts)
SCLC
inib (Pemazyre)",ne (Olinvyk),eptor agonist,COc1ccsc1CNCC[C@@]1(c2ccccn2)CCOC2(CCCC2)C1.I,"InChI=1S/C22H30N2O2S.HI/c1-25-18-7-15-27-19(18)16-23-13-10-21(20-6-2-5-12-24-20)11-14-26-22(17-21)8-3-4-9-22;/h2,5-7,12,15,23H,3-4,8-11,13-14,16-17H2,1H3;1H/t21-;/m1./s1",KHYGDFPSPTUPLA-ZMBIFBSDSA-N,False
17,List-of-2020-Small-Molecule-Drug-Approvals.pdf,1,"avapritinib (Ayvakit)
oral PDGFRA + KIT kinase inhibitor
300 mg QD
overall response rate (ORR)
Ph. I NCT02508532/NAVIGATOR (43 pts)
Oncology - unresectable or met. GIST
pralsetinib (Gavreto)",avapritinib (Ayvakit),oral PDGFRA + KIT kinase inhibitor,Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)([NH3+])c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,"InChI=1S/C26H27FN10/c1-26(28,20-3-5-22(27)6-4-20)21-13-29-25(30-14-21)36-9-7-35(8-10-36)24-23-11-18(16-37(23)33-17-31-24)19-12-32-34(2)15-19/h3-6,11-17H,7-10,28H2,1-2H3/p+1/t26-/m0/s1",DWYRIWUZIJHQKQ-SANMLTNESA-O,True
18,List-of-2020-Small-Molecule-Drug-Approvals.pdf,1,"capmatinib (Tabrecta)
oral MET kinase inhibitor
400 mg BID
overall response rate (ORR)
Ph. IINCT02414139/GEOMETRY (97 pts)
Oncology - NSCLC
pemigatinib (Pemazyre)",capmatinib (Tabrecta),oral MET kinase inhibitor,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,"InChI=1S/C23H17FN6O/c1-25-22(31)18-6-5-16(11-19(18)24)21-13-28-23-27-12-17(30(23)29-21)10-14-4-7-20-15(9-14)3-2-8-26-20/h2-9,11-13H,10H2,1H3,(H,25,31)",LIOLIMKSCNQPLV-UHFFFAOYSA-N,True
19,List-of-2020-Small-Molecule-Drug-Approvals.pdf,1,"pralsetinib (Gavreto)
oral RET fusion kinase inhibitor (WT+mut)
400 mg QD
overall response rate, duration of response
Ph. I/II NCT03037385/ARROW (114 pts)
Oncology - NSCLC
ripretinib (Qinlock)",pralsetinib (Gavreto),oral RET fusion kinase inhibitor (WT+mut),CO[C@@]1(C(=O)N[C@@H](C)c2ccc(-n3cc(F)cn3)nc2)CC[C@H](c2nc(C)cc(Nc3cc(C)[nH]n3)n2)CC1,"InChI=1S/C27H32FN9O2/c1-16-11-22(33-23-12-17(2)35-36-23)34-25(31-16)19-7-9-27(39-4,10-8-19)26(38)32-18(3)20-5-6-24(29-13-20)37-15-21(28)14-30-37/h5-6,11-15,18-19H,7-10H2,1-4H3,(H,32,38)(H2,31,33,34,35,36)/t18-,19-,27-/m0/s1",GBLBJPZSROAGMF-BATDWUPUSA-N,True
20,List-of-2020-Small-Molecule-Drug-Approvals.pdf,1,"pemigatinib (Pemazyre)
oral FGFR1/2/3 kinase inhibitor
13.5 mg QD for 14d, 7d off on 21d cycles
overall response rate, duration of response
Ph. II NCT02924376/FIGHT-202 (107 pts)
Oncology - adv. or met. Cholangiocarcinoma
tucatinib (Tukysa)",pemigatinib (Pemazyre),oral FGFR1/2/3 kinase inhibitor,CCN1C(=O)N(c2c(F)c(OC)cc(OC)c2F)Cc2cnc3[nH]c(CN4CCOCC4)cc3c21,"InChI=1S/C24H27F2N5O4/c1-4-30-21-14(11-27-23-16(21)9-15(28-23)13-29-5-7-35-8-6-29)12-31(24(30)32)22-19(25)17(33-2)10-18(34-3)20(22)26/h9-11H,4-8,12-13H2,1-3H3,(H,27,28)",HCDMJFOHIXMBOV-UHFFFAOYSA-N,True
21,List-of-2020-Small-Molecule-Drug-Approvals.pdf,1,"ripretinib (Qinlock)
oral KIT + PDGFRA kinase inhibitor
150 mg QD
progression-free survival (PFS)
NCT03353753/INVICTUS (129 pts)
Oncology - adv. GIST",ripretinib (Qinlock),oral KIT + PDGFRA kinase inhibitor,CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21,"InChI=1S/C24H21BrFN5O2/c1-3-31-21-12-22(27-2)28-13-14(21)9-17(23(31)32)16-10-20(19(26)11-18(16)25)30-24(33)29-15-7-5-4-6-8-15/h4-13H,3H2,1-2H3,(H,27,28)(H2,29,30,33)",CEFJVGZHQAGLHS-UHFFFAOYSA-N,True
22,List-of-2020-Small-Molecule-Drug-Approvals.pdf,1,"tucatinib (Tukysa)
oral HER2 kinase inhibitor
300 mg BID
progression-free survival (PFS)
Ph. II NCT02614794/HER2CLIMB (612 pts)
Oncology - adv. unresect. or met. HER2+ BC
clascoterone (Winlevi)",tucatinib (Tukysa),oral HER2 kinase inhibitor,CC1=CC(=CC=C1OC2=CC3=NC=NN3C=C2)NC4=NC=NC5=CC=C(C=C54)NC6=NC(C)(C)CO6,"InChI=1S/C26H24N8O2/c1-16-10-17(5-7-22(16)36-19-8-9-34-23(12-19)28-15-30-34)31-24-20-11-18(4-6-21(20)27-14-29-24)32-25-33-26(2,3)13-35-25/h4-12,14-15H,13H2,1-3H3,(H,32,33)(H,27,29,31)",SDEAXTCZPQIFQM-UHFFFAOYSA-N,True
23,List-of-2020-Small-Molecule-Drug-Approvals.pdf,1,"osildrostat (Isturisa)
oral cortisol synthesis inhibitor
2 mg BID, titrated up to 30 mg BID max
compl. responder rate diff. after withdrawal
NCT02180217/LINC-3 (137 pts)
Endocrinology - Cushing’s disease
tirbanibulin (Klisyri)
topical microtubule inhibitor
2.5 mg QD for 5d
clearance of AK lesions in treatment area
NCT03285477, NCT03285490 (702 pts)
Dermatology - actinic keratosis of face/scalp
abametapir (Xeglyze)",osildrostat (Isturisa),oral cortisol synthesis inhibitor,C1=CC=C(C=C1)CNC(=O)CC2=CC=C(C=N2)C3=CC=C(C=C3)OCCN4CCOCC4,"InChI=1S/C26H29N3O3/c30-26(28-19-21-4-2-1-3-5-21)18-24-9-6-23(20-27-24)22-7-10-25(11-8-22)32-17-14-29-12-15-31-16-13-29/h1-11,20H,12-19H2,(H,28,30)",HUNGUWOZPQBXGX-UHFFFAOYSA-N,True
24,List-of-2020-Small-Molecule-Drug-Approvals.pdf,1,"osildrostat (Isturisa)
oral cortisol synthesis inhibitor
2 mg BID, titrated up to 30 mg BID max
compl. responder rate diff. after withdrawal
NCT02180217/LINC-3 (137 pts)
Endocrinology - Cushing’s disease
tirbanibulin (Klisyri)",osildrostat (Isturisa),oral cortisol synthesis inhibitor,N#Cc1ccc([C@H]2CCc3cncn32)c(F)c1,"InChI=1S/C13H10FN3/c14-12-5-9(6-15)1-3-11(12)13-4-2-10-7-16-8-17(10)13/h1,3,5,7-8,13H,2,4H2/t13-/m1/s1",USUZGMWDZDXMDG-CYBMUJFWSA-N,True
25,List-of-2020-Small-Molecule-Drug-Approvals.pdf,1,"clascoterone (Winlevi)
topical androgen receptor inhibitor
c.a. 1 g BID
% pts w/ IGA score change vs. baseline
NCT02608450, NCT02608476 (1421 pts)
Dermatology - acne vulgaris",clascoterone (Winlevi),topical androgen receptor inhibitor,[H][C@@]12CCC3=CC(=O)CC[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1(OC(=O)CC)C(=O)CO,"InChI=1S/C24H34O5/c1-4-21(28)29-24(20(27)14-25)12-9-19-17-6-5-15-13-16(26)7-10-22(15,2)18(17)8-11-23(19,24)3/h13,17-19,25H,4-12,14H2,1-3H3/t17-,18+,19+,22+,23+,24+/m1/s1",GPNHMOZDMYNCPO-PDUMRIMRSA-N,True
26,List-of-2020-Small-Molecule-Drug-Approvals.pdf,1,"bempedoic acid (Nexletol)
oral ATP citrate synthase enzyme inhibitor
180 mg QD
% change in LDL-C (wk 12) vs. baseline
NCT02666664, NCT02991118 (2230, 779 pts)
Cardiology - familial hypercholesterolemia",bempedoic acid (Nexletol),oral ATP citrate synthase enzyme inhibitor,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,"InChI=1S/C19H36O5/c1-18(2,16(21)22)13-9-5-7-11-15(20)12-8-6-10-14-19(3,4)17(23)24/h15,20H,5-14H2,1-4H3,(H,21,22)(H,23,24)",HYHMLYSLQUKXKP-UHFFFAOYSA-N,True
27,List-of-2020-Small-Molecule-Drug-Approvals.pdf,1,"abametapir (Xeglyze)
topical metalloproteinase inhibitor
amount sufficient to coat hair and scalp
live lice freedom rate on days 1, 7, 14
Ph. I/II 02060903, 02062060 (379, 325 pts)
Infectious Disease - head lice",abametapir (Xeglyze),topical metalloproteinase inhibitor,Cc1ccc(-c2ccc(C)cn2)nc1,"InChI=1S/C12H12N2/c1-9-3-5-11(13-7-9)12-6-4-10(2)8-14-12/h3-8H,1-2H3",PTRATZCAGVBFIQ-UHFFFAOYSA-N,True
28,List-of-2020-Small-Molecule-Drug-Approvals.pdf,2,"flortaucipir F18 (Tauvid)
IV tau protein aggregate radiodiagnostic
370 MBq
diagnostic performance of blinded readers
NCT02516046, NCT03901092 (156, 242 pts)
Neurology - Alzheimer’s disease diagnostic",flortaucipir F18 (Tauvid),IV tau protein aggregate radiodiagnostic,C1=C(C=C2C(=C1)C3=C(C=CN=C3)N2)C4=CC=C([18F])N=C4,"InChI=1S/C16H10FN3/c17-16-4-2-11(8-19-16)10-1-3-12-13-9-18-6-5-14(13)20-15(12)7-10/h1-9,20H/i17-1",GETAAWDSFUCLBS-SJPDSGJFSA-N,True
29,List-of-2020-Small-Molecule-Drug-Approvals.pdf,2,"64Cu dotatate (Detectnet)
IV somatostatin rcpt. (SSTR2) radiodiagnostic
148 MBq
blinded readers image interpret. agreement
NCT04334837
Oncology - SSTR+ NET diagnostic",64Cu dotatate (Detectnet),IV somatostatin rcpt. (SSTR2) radiodiagnostic,C[C@H]([C@H]1C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)N[C@H](CC3=CNC4=C3C=CC=C4)C(=O)N[C@@H](CCCCN)C(=O)N1)NC(=O)[C@@H](CC5=CC=CC=C5)NC(=O)CN6CCN(CCN(CCN(CC6)CC(=O)[O-])CC(=O)[O-])CC(=O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)O)O.[64Cu+2],"InChI=1S/C65H90N14O19S2.Cu/c1-38(80)56-64(96)73-51(63(95)75-57(39(2)81)65(97)98)37-100-99-36-50(72-59(91)47(28-40-10-4-3-5-11-40)68-52(83)32-76-20-22-77(33-53(84)85)24-26-79(35-55(88)89)27-25-78(23-21-76)34-54(86)87)62(94)70-48(29-41-15-17-43(82)18-16-41)60(92)71-49(30-42-31-67-45-13-7-6-12-44(42)45)61(93)69-46(58(90)74-56)14-8-9-19-66;/h3-7,10-13,15-18,31,38-39,46-51,56-57,67,80-82H,8-9,14,19-30,32-37,66H2,1-2H3,(H,68,83)(H,69,93)(H,70,94)(H,71,92)(H,72,91)(H,73,96)(H,74,90)(H,75,95)(H,84,85)(H,86,87)(H,88,89)(H,97,98);/q;+2/p-2/t38-,39-,46+,47-,48+,49-,50+,51+,56+,57+;/m1./s1/i;1+0",IJRLLVFQGCCPPI-NVGRTJHCSA-L,True
30,List-of-2020-Small-Molecule-Drug-Approvals.pdf,2,"Cerianna)
c
t w/ biopsy
ging",Cerianna),c,[H]C123CCC4C(O)CCC45([H])[CH]1(C)C25([H])CCC1=C3C=C(O)C=C1,,,False
31,List-of-2020-Small-Molecule-Drug-Approvals.pdf,2,"68Ga PSMA-11
IV PSMA-binding radiodiagnostic
111 MBq
PET scan predictive value vs. histopath.
Ph. II/III 02919111, 02918357 (325, 635 pts)
Oncology - prostate cancer diagnostic",68Ga PSMA-11,IV PSMA-binding radiodiagnostic,O=C([O-])CN(CCN(CC(=O)O)Cc1cc(CCC(=O)O)ccc1[O-])Cc1cc(CCC(=O)NCCCCCC(=O)NCCCC[C@@H](NC(=O)N[C@H](CCC(=O)O)C(=O)O)C(=O)O)ccc1[O-],"InChI=1S/C44H62N6O17/c51-34-13-8-28(22-30(34)24-49(26-40(59)60)20-21-50(27-41(61)62)25-31-23-29(9-14-35(31)52)11-16-38(55)56)10-15-37(54)46-18-4-1-2-7-36(53)45-19-5-3-6-32(42(63)64)47-44(67)48-33(43(65)66)12-17-39(57)58/h8-9,13-14,22-23,32-33,51-52H,1-7,10-12,15-21,24-27H2,(H,45,53)(H,46,54)(H,55,56)(H,57,58)(H,59,60)(H,61,62)(H,63,64)(H,65,66)(H2,47,48,67)/p-3/t32-,33-/m1/s1",QJUIUFGOTBRHKP-CZNDPXEESA-K,False
32,List-of-2020-Small-Molecule-Drug-Approvals.pdf,2,"artesunate (Artesunate)
IV artemisinin-based antimalarial
2.4 mg/kg at 0 h, 12 h, 24 h
in-hospital mortality rate
international trials (Asia, Africa) (832 pts)
Infectious Disease - severe malaria",artesunate (Artesunate),IV artemisinin-based antimalarial,[H][C@]12O[C@@H](OC(=O)CCC(=O)O)[C@H](C)[C@]3([H])CC[C@@H](C)[C@]4([H])CC[C@@](C)(OO[C@]143)O2,"InChI=1S/C19H28O8/c1-10-4-5-13-11(2)16(23-15(22)7-6-14(20)21)24-17-19(13)12(10)8-9-18(3,25-17)26-27-19/h10-13,16-17H,4-9H2,1-3H3,(H,20,21)/t10-,11-,12+,13+,16-,17-,18-,19-/m1/s1",FIHJKUPKCHIPAT-AHIGJZGOSA-N,True
33,List-of-2020-Small-Molecule-Drug-Approvals.pdf,2,"nifurtimox (Lampit)
oral antiprotozoal
8-10 mg/kg (>40 kg)
% pts serologically cured
NCT02625974 (330 pts)
Infectious Disease - Chagas disease",nifurtimox (Lampit),oral antiprotozoal,CC1CS(=O)(=O)CCN1/N=C/C2=CC=C([N+](=O)[O-])O2,"InChI=1S/C10H13N3O5S/c1-8-7-19(16,17)5-4-12(8)11-6-9-2-3-10(18-9)13(14)15/h2-3,6,8H,4-5,7H2,1H3/b11-6+",ARFHIAQFJWUCFH-IZZDOVSWSA-N,True
